Warning : License for product VCSRuntime_Net(725) will expire within 29 days, on: 23-nov-2022.

If you would like to temporarily disable this message, set 
 the VCS_LIC_EXPIRE_WARNING environment variable to the number of days
before expiration that you want this message to start (the minimum is 0).
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version Q-2020.03-SP2_Full64; Runtime version Q-2020.03-SP2_Full64;  Oct 26 17:01 2022
Preloading hehe_tb.magicmemory from isa/build/hex/rv64ui/add.hex
VCD+ Writer Q-2020.03-SP2_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202003.so
FSDB Dumper for VCS, Release Verdi_Q-2020.03-SP2, Linux x86_64/64bit, 08/31/2020
(C) 1996 - 2020 by Synopsys, Inc.
*Verdi* : Create FSDB file './logs/waves.fsdb'
*Verdi* : Begin traversing the scope (hehe_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +struct dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +mda dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
*Verdi* : fsdbDumpon - All FSDB files at 0 ps.
 00000213 80000578 
 00b00113 8000057c 
 00f00093 80000580 
 00000013 80000584 
 00000013 80000588 
 00208733 8000058c 
 00120213 80000590 
 00200293 80000594 
 fe5212e3 80000598 
 00b00113 8000057c 
 00f00093 80000580 
 00000013 80000584 
 00000013 80000588 
 00208733 8000058c 
 00120213 80000590 
 00200293 80000594 
 fe5212e3 80000598 
 01a00393 8000059c 
 01a00393 8000059c 
 01a00393 8000059c 
 0e771263 800005a0 
 02000193 800005a4 
 00000213 800005a8 
 00b00113 800005ac 
 00000013 800005b0 
 00d00093 800005b4 
 00208733 800005b8 
 00120213 800005bc 
 00200293 800005c0 
 fe5214e3 800005c4 
 00b00113 800005ac 
 00000013 800005b0 
 00d00093 800005b4 
 00208733 800005b8 
 00120213 800005bc 
 00200293 800005c0 
 fe5214e3 800005c4 
 01800393 800005c8 
 01800393 800005c8 
 01800393 800005c8 
 0a771c63 800005cc 
 02100193 800005d0 
 00000213 800005d4 
 00b00113 800005d8 
 00000013 800005dc 
 00e00093 800005e0 
 00000013 800005e4 
 00208733 800005e8 
 00120213 800005ec 
 00200293 800005f0 
 fe5212e3 800005f4 
 00b00113 800005d8 
 00000013 800005dc 
 00e00093 800005e0 
 00000013 800005e4 
 00208733 800005e8 
 00120213 800005ec 
 00200293 800005f0 
 fe5212e3 800005f4 
 01900393 800005f8 
 01900393 800005f8 
 01900393 800005f8 
 08771463 800005fc 
 02200193 80000600 
 00000213 80000604 
 00b00113 80000608 
 00000013 8000060c 
 00000013 80000610 
 00f00093 80000614 
 00208733 80000618 
 00120213 8000061c 
 00200293 80000620 
 fe5212e3 80000624 
 00b00113 80000608 
 00000013 8000060c 
 00000013 80000610 
 00f00093 80000614 
 00208733 80000618 
 00120213 8000061c 
 00200293 80000620 
 fe5212e3 80000624 
 01a00393 80000628 
 01a00393 80000628 
 01a00393 80000628 
 04771c63 8000062c 
 02300193 80000630 
 00f00093 80000634 
 00100133 80000638 
 00f00393 8000063c 
 04711263 80000640 
 02400193 80000644 
 02000093 80000648 
 00008133 8000064c 
 02000393 80000650 
 02711863 80000654 
 02500193 80000658 
 000000b3 8000065c 
 00000393 80000660 
 02709063 80000664 
 02600193 80000668 
 01000093 8000066c 
 01e00113 80000670 
 00208033 80000674 
 00000393 80000678 
 00701463 8000067c 
 02301063 80000680 
 0ff0000f 800006a0 
 00100193 800006a4 
 05d00893 800006a8 
 00000513 800006ac 
 00000073 800006b0 
 34202f73 80000004 
 00800f93 80000008 
 03ff0a63 8000000c 
 00900f93 80000010 
 03ff0663 80000014 
 00b00f93 80000018 
 03ff0263 8000001c 
 00001f17 80000040 
 fc3f2023 80000044 
pass test
$finish called from file "./hehe_tb.sv", line 51.
$finish at simulation time             59930000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 59930000 ps
CPU Time:      0.600 seconds;       Data structure size:   0.1Mb
Wed Oct 26 17:01:29 2022
